timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1581845239383,216,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,338,137,18,18,http://localhost:8081/concerts/data/artists,216,0,1
1581845239563,42,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,1351,137,18,18,http://localhost:8080/concerts/data/artists,31,0,1
1581845239574,36,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,1519,137,18,18,http://localhost:8080/concerts/data/artists,17,0,1
1581845239596,18,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,1519,137,18,18,http://localhost:8080/concerts/data/artists,18,0,1
1581845239598,20,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,1687,137,18,18,http://localhost:8080/concerts/data/artists,19,0,0
1581845239597,21,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,1519,137,18,18,http://localhost:8080/concerts/data/artists,18,0,0
1581845239594,28,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,27,0,0
1581845239600,25,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,1687,137,18,18,http://localhost:8080/concerts/data/artists,24,0,0
1581845239622,7,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1687,137,18,18,http://localhost:8080/concerts/data/artists,7,0,0
1581845239629,7,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1687,137,18,18,http://localhost:8080/concerts/data/artists,7,0,0
1581845239383,266,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,338,137,18,18,http://localhost:8081/concerts/data/artists,266,0,1
1581845239636,14,WebFlux Post artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,7,0,0
1581845239516,134,WebFlux Post artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,336,413,18,18,http://localhost:8081/concerts/data/artists,133,0,0
1581845239649,9,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,1855,137,18,18,http://localhost:8080/concerts/data/artists,8,0,0
1581845239650,11,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,10,0,0
1581845239650,15,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,9,0,0
1581845239380,289,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,338,137,18,18,http://localhost:8081/concerts/data/artists,289,0,0
1581845239388,282,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,338,137,18,18,http://localhost:8081/concerts/data/artists,282,0,1
1581845239504,166,WebFlux Post artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,336,413,18,18,http://localhost:8081/concerts/data/artists,166,0,0
1581845239661,12,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2191,137,18,18,http://localhost:8080/concerts/data/artists,12,0,0
1581845239417,260,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,338,137,18,18,http://localhost:8081/concerts/data/artists,254,0,1
1581845239670,9,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,8,0,0
1581845239674,14,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2359,137,18,18,http://localhost:8080/concerts/data/artists,12,0,0
1581845239671,18,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,2359,137,18,18,http://localhost:8080/concerts/data/artists,13,0,1
1581845239666,23,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,2191,137,18,18,http://localhost:8080/concerts/data/artists,22,0,0
1581845239669,22,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,2191,137,18,18,http://localhost:8080/concerts/data/artists,9,0,1
1581845239429,263,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,338,137,18,18,http://localhost:8081/concerts/data/artists,262,0,0
1581845239680,18,WebFlux GET artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2359,137,18,18,http://localhost:8080/concerts/data/artists,11,0,0
1581845239683,18,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,2359,137,18,18,http://localhost:8080/concerts/data/artists,16,0,0
1581845239698,12,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2359,137,18,18,http://localhost:8080/concerts/data/artists,12,0,0
1581845239689,22,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,2359,137,18,18,http://localhost:8080/concerts/data/artists,20,0,0
1581845239688,25,WebFlux Post artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,24,0,0
1581845239692,27,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,2359,137,18,18,http://localhost:8080/concerts/data/artists,19,0,0
1581845239710,13,WebFlux Post artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,12,0,0
1581845239711,14,WebFlux Post artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,14,0,0
1581845239713,24,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,18,18,http://localhost:8080/concerts/data/artists,24,0,0
