Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
MVC Get Artists,1149,10235,78,33906,6867.42,0.261%,18.86142,12214.32,2.52,663124.1
MVC Post Artists,750,9812,9,33294,7136.17,0.267%,12.38359,4.42,4.99,365.4
TOTAL,1899,10068,9,33906,6977.87,0.263%,31.17305,12218.71,7.48,401371.1
